City,City Latitude,City Longitude,Brewery,Brewery Latitude,Brewery Longitude,Venue Category
"Charlotte, North Carolina",35.2271,-80.8431,Toucan Louie's Gold District,35.2227889,-80.85738990000002,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Salty Parrot Brewing Company,35.222871,-80.857052,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Free Range Brewing Camp North End,35.245733,-80.833853,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Summit Seltzery,35.234245,-80.873646,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Protagonist,35.186377,-80.881213,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Devil’s Logic Brewing,35.213875,-80.829262,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Petty Thieves Brewing Company,35.23888539640695,-80.83518443071853,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Fonta Flora Brewery - Optimist Hall,35.234026,-80.827418,Beer Bar
"Charlotte, North Carolina",35.2271,-80.8431,Protagonist,35.246959,-80.805993,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Lower Left Brewing Co.,35.1826,-80.88036,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,The Chamber By Wooden Robot,35.24874709885487,-80.80523729324341,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Birdsong Brewing Co.,35.23090976801412,-80.82653878235618,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Heist Brewery and Barrel Arts,35.249877000000005,-80.833097,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Lenny Boy Brewing Co.,35.208454063471926,-80.86520781546744,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Edge City Brewery,35.177465,-80.756283,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Donut Taco Palace,35.229221,-80.756451,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,GoodRoad CiderWorks,35.18500342411002,-80.87930202639087,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Pilot Brewing,35.221104,-80.815449,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Jack Shack,35.223425644312684,-80.89356021692336,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Sunstead Brewing,35.22272491455078,-80.85758972167969,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Thirsty Nomad Brewing Co.,35.18852736584427,-80.89092158331812,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Three Spirits Brewery,35.17187521449172,-80.87881552613257,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Doug's Desk,35.33552169799805,-80.76681518554688,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Scott M*otherf*ckin' Stallings Brewery,35.202924,-80.77251,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Triple C Brewing Company,35.201103692560906,-80.86934662578906,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,The Suffolk Punch,35.20034223235947,-80.86894710226491,Restaurant
"Charlotte, North Carolina",35.2271,-80.8431,Divine Barrel Brewing,35.250287967009555,-80.79636706532227,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,16 HG Brewer,35.29344302359458,-80.90150511043343,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Furphy's Log Palace,35.221108,-80.73507,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Salud Cerveceria,35.24780850704708,-80.80409813482055,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Blue Blaze Brewing Co,35.240772177705644,-80.86762454242208,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Legion Brewing,35.21849006557401,-80.81297945767213,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Town Brewing Company,35.22979349877174,-80.8658186735885,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Sugar Creek Brewing Company,35.18555570323919,-80.88092432939943,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Resident Culture Brewing Co.,35.220144443205825,-80.8052395675805,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Legion Brewing Southpark,35.15392134008934,-80.83859025581971,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Free Range Brewing,35.24051456960992,-80.81328874165493,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Brewers at 4001 Yancey,35.1865654,-80.8779978,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,NoDa Brewing Company North End,35.25182474126467,-80.81252990201196,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Sycamore Brewing,35.20875397921398,-80.86273980533484,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Catawba Brewing Charlotte,35.22504807030814,-80.82136507632379,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Heist Brewery,35.24534657678093,-80.80946802968259,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Olde Mecklenburg Brewery,35.18736714313063,-80.881549640237,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Unknown Brewing Co.,35.220628649967956,-80.85776921651528,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Wooden Robot Brewery,35.217138426764315,-80.85713331055709,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Bold Missy Brewery,35.249325764325995,-80.79649337834941,Brewery
"Charlotte, North Carolina",35.2271,-80.8431,Red Clay Ciderworks,35.19456796897426,-80.87480795541043,Brewery
